Index,Date,Open,High,Low,Close*,Adj,Close**
NASDAQ,01/09/1991,526.3,529.21,511.05,526.88,526.88,
NASDAQ,01/08/1991,502.27,527.71,487.08,525.68,525.68,
NASDAQ,01/07/1991,478.06,502.13,471.24,502.04,502.04,
NASDAQ,01/06/1991,505.84,508.04,470.92,475.92,475.92,
NASDAQ,01/05/1991,481.94,506.12,476.58,506.11,506.11,
NASDAQ,01/04/1991,480.18,512.68,479.12,484.72,484.72,
NASDAQ,01/03/1991,450.6,483.32,450.3,482.3,482.3,
NASDAQ,01/02/1991,415.1,454.2,413.5,453.1,453.1,
NASDAQ,01/01/1991,373,414.2,353,414.2,414.2,
NASDAQ,01/12/1990,361.1,378,359.8,373.8,373.8,
NASDAQ,01/11/1990,328.6,359.1,327.8,359.1,359.1,
NASDAQ,01/10/1990,349,360.9,323,329.8,329.8,
NASDAQ,01/09/1990,379,385.2,334.6,344.5,344.5,
NASDAQ,01/08/1990,437.7,438.6,359.7,381.2,381.2,
NASDAQ,01/07/1990,461.6,470.3,436.8,438.2,438.2,
NASDAQ,01/06/1990,459.5,469.4,453.2,462.3,462.3,
NASDAQ,01/05/1990,422,460,420.7,459,459,
NASDAQ,01/04/1990,431.6,438.5,417,420.1,420.1,
NASDAQ,01/03/1990,425.3,443.3,424.5,435.5,435.5,
NASDAQ,01/02/1990,416.8,430.9,416.2,425.8,425.8,
NASDAQ,01/01/1990,452.9,461.6,410,415.8,415.8,
NASDAQ,01/12/1989,456.6,459.4,431.8,454.8,454.8,
NASDAQ,01/11/1989,456.2,457.8,446.8,456.1,456.1,
NASDAQ,01/10/1989,472.8,487.5,447.1,455.6,455.6,
NASDAQ,01/09/1989,469.9,474.6,464.9,472.9,472.9,
NASDAQ,01/08/1989,455.2,469.4,452.4,469.3,469.3,
NASDAQ,01/07/1989,434.5,453.8,434.4,453.8,453.8,
NASDAQ,01/06/1989,446.8,454.6,431.7,435.3,435.3,
NASDAQ,01/05/1989,425.9,446.2,425.8,446.2,446.2,
NASDAQ,01/04/1989,407,427.6,406.5,427.6,427.6,
NASDAQ,01/03/1989,401,409.8,397.8,406.7,406.7,
NASDAQ,01/02/1989,401.8,410.1,398.2,399.7,399.7,
NASDAQ,01/01/1989,378.9,401.4,376.9,401.3,401.3,
NASDAQ,01/12/1988,372.1,381.4,371.2,381.4,381.4,
NASDAQ,01/11/1988,382.7,383.1,364,371.5,371.5,
NASDAQ,01/10/1988,384.7,388.9,380.7,382.5,382.5,
NASDAQ,01/09/1988,374.2,388.4,372.2,387.7,387.7,
NASDAQ,01/08/1988,387.6,389.5,372.2,376.6,376.6,
NASDAQ,01/07/1988,394.2,397.5,382.1,387.3,387.3,
NASDAQ,01/06/1988,372.7,394.8,372.7,394.7,394.7,
NASDAQ,01/05/1988,379,383.1,362.4,370.3,370.3,
NASDAQ,01/04/1988,373.7,384.3,369.8,379.2,379.2,
NASDAQ,01/03/1988,367.4,382.6,366.7,374.6,374.6,
NASDAQ,01/02/1988,346.2,367,343.5,367,367,
NASDAQ,01/01/1988,335.1,349.7,329,344.7,344.7,
NASDAQ,01/12/1987,306.4,333.2,291.9,330.5,330.5,
NASDAQ,01/11/1987,325.4,328.8,301.6,305.2,305.2,
NASDAQ,01/10/1987,446.2,453.7,288.5,323.3,323.3,
NASDAQ,01/09/1987,455.5,456.3,434.9,444.3,444.3,
NASDAQ,01/08/1987,433.3,455.8,431.2,455,455,
NASDAQ,01/07/1987,424.5,434.9,423.7,434.9,434.9,
NASDAQ,01/06/1987,415.5,429.9,413.5,424.7,424.7,
NASDAQ,01/05/1987,418.6,424.8,404.5,416.5,416.5,
NASDAQ,01/04/1987,426.3,439.2,407.4,417.8,417.8,
NASDAQ,01/03/1987,425,440,422.9,430.1,430.1,
NASDAQ,01/02/1987,393.8,425,392,425,425,
NASDAQ,01/01/1987,351.3,396.2,348.8,392.1,392.1,
NASDAQ,01/12/1986,357.4,364.7,347,348.8,348.8,
NASDAQ,01/11/1986,361,362.5,349.1,359.6,359.6,
NASDAQ,01/10/1986,352.5,361.6,351.2,360.8,360.8,
NASDAQ,01/09/1986,382.8,384,342.3,350.7,350.7,
NASDAQ,01/08/1986,372.5,383.2,364.4,382.9,382.9,
NASDAQ,01/07/1986,407,411.3,369.1,371.4,371.4,
NASDAQ,01/06/1986,400.7,405.5,391.8,405.5,405.5,
NASDAQ,01/05/1986,383.2,400.4,381.5,400.2,400.2,
NASDAQ,01/04/1986,375.8,393,368,383.2,383.2,
NASDAQ,01/03/1986,360,374.7,359.1,374.7,374.7,
NASDAQ,01/02/1986,336.1,359.8,335.8,359.5,359.5,
NASDAQ,01/01/1986,325,335.8,322.1,335.8,335.8,
NASDAQ,01/12/1985,313.9,325.6,312.3,324.9,324.9,
